,SMILES
35,CN(C)c1c(O)c(N(C)C)c(B(c2c(N(C)C)c(O)c(N(C)C)c(O)c2N(C)C)c2c(N(C)C)c(O)c(N(C)C)c(O)c2N(C)C)c(N(C)C)c1O
36,Cc1c(O)c(F)c(O)c(C)c1B(c1c(C)c(O)c(F)c(O)c1C)c1c(C)c(O)c(F)c(O)c1C
37,O=[N+]([O-])c1c(Cl)c([N+](=O)[O-])c(B(c2c([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c(Cl)c2[N+](=O)[O-])c2c([N+](=O)[O-])c(Cl)c([N+](=O)[O-])c(Cl)c2[N+](=O)[O-])c([N+](=O)[O-])c1Cl
38,FC(F)(F)c1cc(B(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc(C(F)(F)F)c1
39,CC(C)(C)c1c(C#N)c(C(C)(C)C)c(B(c2c(C(C)(C)C)c(C#N)c(C(C)(C)C)c(C#N)c2C(C)(C)C)c2c(C(C)(C)C)c(C#N)c(C(C)(C)C)c(C#N)c2C(C)(C)C)c(C(C)(C)C)c1C#N
40,CN(C)c1cc(N(C)C)c(B(c2c(N(C)C)cc(N(C)C)cc2N(C)C)c2c(N(C)C)cc(N(C)C)cc2N(C)C)c(N(C)C)c1
41,Cc1c(N)c(Br)c(N)c(C)c1B(c1c(C)c(N)c(Br)c(N)c1C)c1c(C)c(N)c(Br)c(N)c1C
42,COc1c(N(C)C)c(OC)c(N(C)C)c(B(c2c(N(C)C)c(OC)c(N(C)C)c(OC)c2N(C)C)c2c(N(C)C)c(OC)c(N(C)C)c(OC)c2N(C)C)c1N(C)C
43,COc1c(O)c(OC)c(B(c2c(OC)c(O)c(OC)c(O)c2OC)c2c(OC)c(O)c(OC)c(O)c2OC)c(OC)c1O
44,Cc1c([N+](=O)[O-])c(C)c([N+](=O)[O-])c(B(c2c([N+](=O)[O-])c(C)c([N+](=O)[O-])c(C)c2[N+](=O)[O-])c2c([N+](=O)[O-])c(C)c([N+](=O)[O-])c(C)c2[N+](=O)[O-])c1[N+](=O)[O-]
45,Oc1cc(O)c(O)c(B(c2c(O)c(O)cc(O)c2O)c2c(O)c(O)cc(O)c2O)c1O
46,N#Cc1c(C#N)c(C#N)c(B(c2c(C#N)c(C#N)c(C#N)c(C#N)c2C#N)c2c(C#N)c(C#N)c(C#N)c(C#N)c2C#N)c(C#N)c1C#N
47,CN(C)c1c(B(c2c(N(C)C)c(C(C)(C)C)c(N(C)C)c(C(C)(C)C)c2N(C)C)c2c(N(C)C)c(C(C)(C)C)c(N(C)C)c(C(C)(C)C)c2N(C)C)c(N(C)C)c(C(C)(C)C)c(N(C)C)c1C(C)(C)C
48,Clc1c(Br)c(Cl)c(Br)c(B(c2c(Br)c(Cl)c(Br)c(Cl)c2Br)c2c(Br)c(Cl)c(Br)c(Cl)c2Br)c1Br
49,N#Cc1c(N)c(Br)c(N)c(C#N)c1B(c1c(C#N)c(N)c(Br)c(N)c1C#N)c1c(C#N)c(N)c(Br)c(N)c1C#N
