can,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_scf,E_thermal_correction,E_zpe,G,G_thermal_correction,H,H_thermal_correction,charge,converged,dipole,electronegativity,electronic_spatial_extent,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,multiplicity,number_of_atoms,zero_point_correction
O=[N+]([O-])c1c(F)cc2c(c1Br)N[BH-]1Nc3c(cc(F)c([N+](=O)[O-])c3Br)N12,-6402.309618,6.2368,16115.1111,2581.657,-6402.33036611,0.204972,-6402.331165,-6402.384391,0.130198,-6402.308674,0.205916,-1.0,1.0,4.3268,0.028975,16600.1152,0.087075,-0.11605,0.0581,491.8174,2649.596,1.0,31.0,0.183424
O=[N+]([O-])c1c(O)ccc2c1NB1Nc3c(ccc(O)c3[N+](=O)[O-])N12,-1211.268765,10.5179,9628.9298,2045.823,-1211.25908055,0.240772,-1211.286751,-1211.333343,0.176193,-1211.267821,0.241716,0.0,1.0,6.2849,0.15810999999999997,9382.1527,0.09674999999999999,-0.25486,-0.06136,329.0351,2154.644,1.0,32.0,0.222786
O=[N+]([O-])c1c(O)ccc2c1N[BH-]1Nc3c(ccc(O)c3[N+](=O)[O-])N12,-1211.902442,11.0771,8899.1875,2269.274,-1211.94488397,0.248278,-1211.92075,-1211.96815,0.18257,-1211.901497,0.249222,-1.0,1.0,7.2746,0.013185000000000002,9651.7901,0.083755,-0.09694,0.07057,330.043,2434.741,1.0,33.0,0.229969
O=[N+]([O-])c1c2c(cc(C(F)(F)F)c1C(F)(F)F)N1B(N2)Nc2c1cc(C(F)(F)F)c(C(F)(F)F)c2[N+](=O)[O-],-2408.567479,1.2489,22944.7332,2969.342,-2408.58062498,0.264729,-2408.597326,-2408.659489,0.172718,-2408.566534,0.265673,0.0,1.0,4.5432,0.194755,22218.8046,0.117745,-0.3125,-0.07701,569.0295,3276.516,1.0,42.0,0.234882
O=[N+]([O-])c1c2c(cc(C(F)(F)F)c1C(F)(F)F)N1[BH-](N2)Nc2c1cc(C(F)(F)F)c(C(F)(F)F)c2[N+](=O)[O-],-2409.232148,5.6214,21257.1418,3047.833,-2409.31163553,0.272458,-2409.262161,-2409.324417,0.180189,-2409.231204,0.273402,-1.0,1.0,5.0881,0.048385,23055.2112,0.09286499999999999,-0.14125,0.04448,570.0374,2612.428,1.0,43.0,0.242445
Oc1c(Cl)ccc2c1NB1Nc3c(ccc(Cl)c3O)N12,-1721.58401,2.2197,8880.0106,2197.481,-1721.64895328,0.212637,-1721.600076,-1721.643597,0.15305,-1721.583065,0.213581,0.0,1.0,4.2967,0.111935,8787.6139,0.134605,-0.24654,0.02267,307.9301,1875.898,1.0,28.0,0.19657
Oc1c(Cl)ccc2c1N[BH-]1Nc3c(ccc(Cl)c3O)N12,-1722.18452,1.7885,8222.6561,1840.682,-1722.27169754,0.219539,-1722.201006,-1722.245527,0.158531,-1722.183575,0.220483,,1.0,3.5552,-0.043925,8770.3943,0.119955,-0.07603,0.16388,308.938,2286.009,1.0,29.0,0.203052
Oc1cc2c(c(O)c1Br)NB1Nc3c(cc(O)c(Br)c3O)N12,-6095.180412,0.4884,14990.4601,2098.636,-6095.25855823,0.223311,-6095.199513,-6095.247439,0.156285,-6095.179468,0.224256,0.0,1.0,2.7567,0.1097,14404.8958,0.12868000000000002,-0.23838,0.01898,428.8309,1997.089,1.0,30.0,0.204211
Oc1cc2c(c(O)c1Br)N[BH-]1Nc3c(cc(O)c(Br)c3O)N12,-6095.782096,4.4495,13659.8222,2539.942,-6095.85658011,0.230679,-6095.8016,-6095.850575,0.1622,-6095.781151,0.231623,,1.0,3.9678,-0.030105,14490.9633,0.10666500000000001,-0.07656,0.13677,429.8388,2363.557,1.0,31.0,0.211175
Oc1cc2c(cc1F)N1B(N2)Nc2cc(O)c(F)cc21,-1000.836285,5.3372,6633.2905,1617.81,-1000.92489655,0.214199,-1000.851816,-1000.893955,0.156528,-1000.835341,0.215143,0.0,1.0,6.1827,0.09925999999999999,6708.8194,0.12883,-0.22809,0.02957,275.0209,1876.659,1.0,28.0,0.198668
Oc1cc2c(cc1F)N1[BH-](N2)Nc2cc(O)c(F)cc21,-1001.436771,2.109,6283.9409,1839.983,-1001.54133292,0.220927,-1001.452859,-1001.495787,0.16191,-1001.435826,0.221871,,1.0,4.9272,-0.05815000000000001,6760.6658,0.11579,-0.05764,0.17394,276.0288,2115.98,1.0,29.0,0.204838
c1ccc2c(c1)NB1Nc3ccccc3N12,-652.048413,3.2395,3566.4094,1867.588,-652.15309997,0.218236,-652.05942,-652.096166,0.170483,-652.047469,0.21918,0.0,1.0,3.0942,0.10105,3583.6806,0.13505,-0.2361,0.034,207.0411,1705.189,1.0,26.0,0.207229
Brc1cc(Br)c2c(c1)N1B(O2)Oc2c(Br)cc(Br)cc21,-10976.561763,1.3152,16875.2393,1933.068,-10976.60479,0.158515,-10976.578326,-10976.626933,0.093345,-10976.560818,0.159459,0.0,1.0,0.7214,0.150615,16306.9026,0.13360499999999997,-0.28422,-0.01701,524.5951,2165.036,1.0,24.0,0.141952
Brc1cc(Br)c2c(c1)N1[BH-](O2)Oc2c(Br)cc(Br)cc21,-10977.217895,2.907,15183.4939,2692.474,-10977.2881085,0.1664,-10977.234896,-10977.284554,0.099742,-10977.216951,0.167345,,1.0,4.5859,-0.0025150000000000033,16992.966,0.12363500000000001,-0.12112,0.12615,525.603,2256.927,1.0,25.0,0.149399
Brc1ccc2c(c1)N1B(O2)Oc2ccc(Br)cc21,-5834.187651,1.4179,9643.4939,1926.445,-5834.25722088,0.175524,-5834.201108,-5834.243872,0.119303,-5834.186706,0.176468,0.0,1.0,1.2308,0.13668999999999998,9650.7064,0.13388,-0.27057,-0.00281,366.8029,2511.258,1.0,24.0,0.162066
Brc1ccc2c(c1)OB1Oc3cc(Br)ccc3N12,-5834.187212,1.2462,12385.0772,1721.5,-5834.24616374,0.175471,-5834.200712,-5834.243604,0.119079,-5834.186268,0.176416,0.0,1.0,1.3476,0.13283,12168.5336,0.12951000000000001,-0.26234,-0.00332,366.8029,2383.615,1.0,24.0,0.161971
Brc1ccc2c(c1Br)OB1Oc3c(ccc(Br)c3Br)N12,-10976.560763,3.2055,18393.0144,1925.197,-10976.5995809,0.158598,-10976.577241,-10976.625492,0.093869,-10976.559818,0.159543,0.0,1.0,3.8126,0.143,17725.683,0.12852,-0.27152,-0.01448,524.5951,2755.674,1.0,24.0,0.14212
Brc1cccc2c1OB1Oc3c(Br)cccc3N12,-5834.184607,3.9175,9253.6869,1947.879,-5834.25462484,0.176002,-5834.198037,-5834.240713,0.119896,-5834.183662,0.176946,0.0,1.0,4.1688,0.135275,9716.7157,0.135275,-0.27055,0.0,366.8029,2245.013,1.0,24.0,0.162572
CC(C)(C)c1c(C#N)c(C#N)cc2c1OB1Oc3c(cc(C#N)c(C#N)c3C(C)(C)C)N12,-1374.757177,8.939,16606.7234,3857.312,-1375.17869482,0.433905,-1374.786031,-1374.844338,0.346744,-1374.756233,0.434849,0.0,1.0,8.3424,0.18581,16682.077,0.11979999999999999,-0.30561,-0.06601,421.2643,3170.842,1.0,52.0,0.405052
CC(C)(C)c1c(C(F)(F)F)cc2c(c1N)OB1Oc3c(cc(C(F)(F)F)c(C(C)(C)C)c3N)N12,-1790.361992,5.6486,20825.5596,3416.098,-1790.60045052,0.488249,-1790.392833,-1790.453066,0.397175,-1790.361048,0.489193,0.0,1.0,4.6297,0.12647,19934.9337,0.1309,-0.25737,0.00443,487.2509,3891.381,1.0,58.0,0.457408
CC(C)(C)c1c(C(F)(F)F)cc2c(c1N)O[BH-]1Oc3c(cc(C(F)(F)F)c(C(C)(C)C)c3N)N12,-1791.006132,2.16,18553.2664,3420.215,-1791.27985789,0.496013,-1791.037172,-1791.098465,0.403681,-1791.005188,0.496957,-1.0,1.0,2.7243,-0.012430000000000004,19055.829,0.12465000000000001,-0.11222,0.13708,488.2588,3623.396,1.0,59.0,0.464973
CC(C)(C)c1c(F)c(Br)cc2c1OB1Oc3c(cc(Br)c(F)c3C(C)(C)C)N12,-6346.716483,2.4959,19258.8325,2770.677,-6346.96855523,0.400826,-6346.74268,-6346.799194,0.318115,-6346.715539,0.40177,0.0,1.0,2.4784,0.13182,18800.4483,0.13322,-0.26504,0.0014,514.9983,3731.178,1.0,48.0,0.374629
CC(C)(C)c1c(F)c(Br)cc2c1O[BH-]1Oc3c(cc(Br)c(F)c3C(C)(C)C)N12,-6347.366477,1.5658,17202.6279,3434.185,-6347.64350238,0.408539,-6347.392921,-6347.450102,0.324914,-6347.365533,0.409483,-1.0,1.0,2.1014,-0.013685000000000003,18984.933,0.126245,-0.11256,0.13993,516.0062,2843.357,1.0,49.0,0.382095
CC(C)(C)c1c(F)ccc2c1OB1Oc3c(ccc(F)c3C(C)(C)C)N12,-1204.34232,2.2158,11786.5115,2919.038,-1204.58461725,0.417842,-1204.365412,-1204.416161,0.344001,-1204.341375,0.418787,0.0,1.0,1.104,0.11815,11738.9705,0.13468,-0.25283,0.01653,357.2061,3262.454,1.0,48.0,0.39475
CC(C)(C)c1c(F)ccc2c1O[BH-]1Oc3c(ccc(F)c3C(C)(C)C)N12,-1204.97878,1.6377,10596.9418,3164.648,-1205.26563262,0.425143,-1205.002053,-1205.053314,0.350609,-1204.977836,0.426087,-1.0,1.0,2.1259,-0.031945,11725.5724,0.127775,-0.09583,0.15972,358.214,3072.474,1.0,49.0,0.40187
CC(C)(C)c1c(N)cc2c(c1[N+](=O)[O-])OB1Oc3c(cc(N)c(C(C)(C)C)c3[N+](=O)[O-])N12,-1525.332085,10.4841,18664.6983,3127.713,-1525.53504036,0.480795,-1525.361685,-1525.420836,0.392044,-1525.331141,0.481739,0.0,1.0,9.3203,0.14524,18279.4714,0.11677000000000001,-0.26201,-0.02847,441.2495,3215.406,1.0,56.0,0.451194
CC(C)(C)c1c(N)cc2c(c1[N+](=O)[O-])O[BH-]1Oc3c(cc(N)c(C(C)(C)C)c3[N+](=O)[O-])N12,-1525.98139,15.6446,16604.8173,3117.235,-1526.16843803,0.488624,-1526.01122,-1526.070955,0.399058,-1525.980446,0.489568,-1.0,1.0,12.4118,0.014535,17791.0666,0.10100500000000001,-0.11554,0.08647,442.2574,3438.599,1.0,57.0,0.458794
CC(C)(C)c1c(O)cc2c(c1O)OB1Oc3c(cc(O)c(C(C)(C)C)c3O)N12,-1306.6489,2.0932,15798.0129,3144.244,-1306.91866575,0.454683,-1306.675199,-1306.728796,0.374787,-1306.647956,0.455627,0.0,1.0,0.4842,0.116175,15257.6951,0.134105,-0.25028,0.01793,385.2227,3314.203,1.0,52.0,0.428384
