can,E,ES_root_dipole,ES_root_electronic_spatial_extent,ES_root_molar_volume,E_scf,E_thermal_correction,E_zpe,G,G_thermal_correction,H,H_thermal_correction,charge,converged,dipole,electronegativity,electronic_spatial_extent,hardness,homo_energy,lumo_energy,molar_mass,molar_volume,multiplicity,number_of_atoms,zero_point_correction
Cc1c(Br)cc2c(c1C(C)(C)C)OB1Oc3c(cc(Br)c(C)c3C(C)(C)C)N12,-6226.810377,1.6124,19446.0624,3892.613,-6227.14052111,0.475631,-6226.837931,-6226.896623,0.389385,-6226.809433,0.476575,0.0,1.0,2.4872,0.12473000000000001,19111.0419,0.1311,-0.25583,0.00637,507.0709,3121.435,1.0,54.0,0.448077
Cc1c(Br)cc2c(c1C(C)(C)C)O[BH-]1Oc3c(cc(Br)c(C)c3C(C)(C)C)N12,-6227.448391,2.3882,17465.1146,3729.007,-6227.79339514,0.482989,-6227.476333,-6227.536205,0.395175,-6227.447447,0.483934,-1.0,1.0,3.2326,-0.020180000000000003,17858.6073,0.1237,-0.10352,0.14388,508.0788,3027.511,1.0,55.0,0.455047
Cc1c(C(C)(C)C)cc2c(c1C(C)(C)C)OB1Oc3c(cc(C(C)(C)C)c(C)c3C(C)(C)C)N12,-1398.510874,1.7484,19757.5447,4294.869,-1399.02703566,0.73306,-1398.546034,-1398.610355,0.63358,-1398.50993,0.734004,0.0,1.0,1.9185,0.108645,18815.94,0.129035,-0.23768,0.02039,461.4931,4461.337,1.0,78.0,0.6979
Cc1c(C(F)(F)F)cc2c(c1C(C)(C)C)OB1Oc3c(cc(C(F)(F)F)c(C)c3C(C)(C)C)N12,-1758.285298,3.6017,19470.9429,3609.842,-1758.61964023,0.511134,-1758.316638,-1758.37864,0.417792,-1758.284354,0.512078,0.0,1.0,2.8231,0.13055999999999998,18787.7455,0.13086,-0.26142,0.0003,485.2753,3298.648,1.0,60.0,0.479794
Cc1c(C(F)(F)F)cc2c(c1C(F)(F)F)OB1Oc3c(cc(C(F)(F)F)c(C)c3C(F)(F)F)N12,-2118.046814,0.991,18954.9524,3115.848,-2118.17161919,0.288549,-2118.074476,-2118.133715,0.201649,-2118.04587,0.289494,0.0,1.0,1.5138,0.15601500000000001,17924.2274,0.12956499999999999,-0.28558,-0.02645,509.0575,2789.187,1.0,42.0,0.260888
Cc1c(C(F)(F)F)cc2c(c1[N+](=O)[O-])OB1Oc3c(cc(C(F)(F)F)c(C)c3[N+](=O)[O-])N12,-1853.011799,3.599,16606.7784,2830.125,-1853.05222874,0.281692,-1853.037816,-1853.095347,0.198144,-1853.010854,0.282636,0.0,1.0,5.4908,0.178155,15767.2551,0.121025,-0.29918,-0.05713,463.0561,2554.626,1.0,40.0,0.255674
Cc1c(Cl)c(C(C)(C)C)cc2c1OB1Oc3c(cc(C(C)(C)C)c(Cl)c3C)N12,-2003.601968,1.3314,15948.7661,3346.747,-2003.89518888,0.475502,-2003.629189,-2003.684786,0.392684,-2003.601023,0.476447,0.0,1.0,1.5078,0.12375,15742.9437,0.12986,-0.25361,0.00611,418.1689,3711.244,1.0,54.0,0.448281
Cc1c(Cl)c(N)cc2c1OB1Oc3c(cc(N)c(Cl)c3C)N12,-1800.12879,3.3813,10435.6243,2336.927,-1800.26305465,0.272471,-1800.148241,-1800.195451,0.205811,-1800.127846,0.273416,0.0,1.0,2.8761,0.11655,10479.0197,0.12666,-0.24321,0.01011,335.9837,2111.681,1.0,34.0,0.253021
Cc1c(Cl)c(N)cc2c1O[BH-]1Oc3c(cc(N)c(Cl)c3C)N12,-1800.75808,5.665,9356.4436,2078.523,-1800.90000647,0.280321,-1800.777998,-1800.826348,0.212053,-1800.757136,0.281265,-1.0,1.0,5.3207,-0.031114999999999997,10094.4292,0.121025,-0.08991,0.15214,336.9916,1985.454,1.0,35.0,0.260403
Cc1c(Cl)cc2c(c1Cl)OB1Oc3c(cc(Cl)c(C)c3Cl)N12,-2608.644458,1.4606,11546.227,2579.596,-2608.75248227,0.218841,-2608.663637,-2608.712738,0.150561,-2608.643514,0.219785,0.0,1.0,1.5608,0.14186,10985.6379,0.13241,-0.27427,-0.00945,374.8447,2640.292,1.0,30.0,0.199662
Cc1c(Cl)ccc2c1OB1Oc3c(ccc(Cl)c3C)N12,-1689.502203,0.4231,8959.5773,2349.389,-1689.62152373,0.235763,-1689.518628,-1689.563021,0.174945,-1689.501259,0.236707,0.0,1.0,0.8788,0.12753,8815.825,0.13101,-0.25854,0.00348,305.9545,2511.416,1.0,30.0,0.219338
Cc1c(F)cc2c(c1C(F)(F)F)OB1Oc3c(cc(F)c(C)c3C(F)(F)F)N12,-1642.613516,3.1158,13023.4743,2511.643,-1642.72326185,0.255835,-1642.636215,-1642.689406,0.179945,-1642.612572,0.256779,0.0,1.0,2.3115,0.14758,12791.8671,0.1279,-0.27548,-0.01968,409.0419,2183.017,1.0,36.0,0.233136
Cc1c(F)cc2c(c1F)OB1Oc3c(cc(F)c(C)c3F)N12,-1167.179814,1.0247,8134.833,2085.411,-1167.38472936,0.223573,-1167.197654,-1167.243654,0.159732,-1167.178869,0.224517,0.0,1.0,1.8003,0.133075,8215.9609,0.13444499999999998,-0.26752,0.00137,309.0263,2016.661,1.0,30.0,0.205733
Cc1c(F)cc2c(c1N(C)C)OB1Oc3c(cc(F)c(C)c3N(C)C)N12,-1236.413397,3.2797,11559.4381,3061.244,-1236.6489254,0.394329,-1236.43741,-1236.489645,0.318081,-1236.412453,0.395273,0.0,1.0,2.6681,0.117065,11552.8857,0.131655,-0.24872,0.01459,359.1817,2894.267,1.0,46.0,0.370316
Cc1c(N(C)C)cc2c(c1Br)OB1Oc3c(cc(N(C)C)c(C)c3Br)N12,-6180.364197,6.3419,17241.5723,3178.749,-6180.61559837,0.391817,-6180.389426,-6180.446067,0.309947,-6180.363253,0.392761,0.0,1.0,5.1123,0.122025,17159.4031,0.129455,-0.25148,0.00743,480.9929,2655.19,1.0,46.0,0.366588
Cc1c(N(C)C)cc2c(c1C(F)(F)F)OB1Oc3c(cc(N(C)C)c(C)c3C(F)(F)F)N12,-1711.839492,8.67,17178.5073,2693.424,-1712.12092938,0.42698,-1711.868189,-1711.927012,0.33946,-1711.838548,0.427924,0.0,1.0,6.2533,0.129275,17116.9804,0.124835,-0.25411,-0.00444,459.1973,3098.886,1.0,52.0,0.398283
Cc1c(N(C)C)cc2c(c1N(C)C)OB1Oc3c(cc(N(C)C)c(C)c3N(C)C)N12,-1305.634604,2.5287,15430.28,3503.17,-1306.14680546,0.565403,-1305.664706,-1305.723625,0.476382,-1305.63366,0.566347,0.0,1.0,2.2057,0.102125,15901.7343,0.129605,-0.23173,0.02748,409.3371,3810.466,1.0,62.0,0.535301
Cc1c(N(C)C)cc2c(c1O)OB1Oc3c(cc(N(C)C)c(C)c3O)N12,-1188.364524,2.6928,11706.7187,2766.815,-1188.59508926,0.420403,-1188.388773,-1188.440728,0.344198,-1188.36358,0.421347,0.0,1.0,2.7834,0.10549,11727.2232,0.13315,-0.23864,0.02766,355.1995,2943.421,1.0,48.0,0.396153
Cc1c(N(C)C)cc2c(c1O)O[BH-]1Oc3c(cc(N(C)C)c(C)c3O)N12,-1188.995922,5.8954,10338.8272,2466.277,-1189.26070185,0.427583,-1189.02057,-1189.073794,0.349711,-1188.994978,0.428527,-1.0,1.0,6.8996,-0.042765,11349.3503,0.130055,-0.08729,0.17282,356.2074,2882.275,1.0,49.0,0.402935
Cc1c(N)c(C(C)(C)C)cc2c1OB1Oc3c(cc(C(C)(C)C)c(N)c3C)N12,-1195.069104,2.6519,13883.9375,3046.135,-1195.39520964,0.529626,-1195.096528,-1195.151256,0.447473,-1195.06816,0.53057,0.0,1.0,1.8104,0.086595,13158.9264,0.125945,-0.21254,0.03935,379.3079,3075.425,1.0,58.0,0.502201
Cc1c(N)cc2c(c1C#N)OB1Oc3c(cc(N)c(C)c3C#N)N12,-1065.393056,12.8528,9519.2834,2629.837,-1065.55885948,0.290146,-1065.413465,-1065.461495,0.221707,-1065.392112,0.29109,0.0,1.0,10.1361,0.14048000000000002,9368.6743,0.11915000000000002,-0.25963,-0.02133,317.1131,2605.259,1.0,36.0,0.269737
Cc1c(O)cc2c(c1O)OB1Oc3c(cc(O)c(C)c3O)N12,-1071.089341,0.958,8210.2735,1950.816,-1071.21097515,0.274757,-1071.108288,-1071.154096,0.210002,-1071.088397,0.275702,0.0,1.0,2.9972,0.1106,8222.9713,0.13588,-0.24648,0.02528,301.0619,2601.088,1.0,34.0,0.25581
Cc1c(O)cc2c(c1O)O[BH-]1Oc3c(cc(O)c(C)c3O)N12,-1071.719727,3.5547,7402.5305,2063.217,-1071.85474397,0.282279,-1071.739348,-1071.787144,0.214861,-1071.718782,0.283223,-1.0,1.0,2.8755,-0.04468,7958.4254,0.12963,-0.08495,0.17431,302.0698,2274.829,1.0,35.0,0.262657
Cc1c([N+](=O)[O-])cc2c(c1C)OB1Oc3c(cc([N+](=O)[O-])c(C)c3C)N12,-1257.711774,6.0746,11393.8786,2747.15,-1257.81303875,0.323671,-1257.733757,-1257.784937,0.250508,-1257.71083,0.324615,0.0,1.0,5.7771,0.16002,11108.9889,0.118,-0.27802,-0.04202,355.1131,2217.883,1.0,40.0,0.301688
Cc1c([N+](=O)[O-])cc2c(c1[N+](=O)[O-])OB1Oc3c(cc([N+](=O)[O-])c(C)c3[N+](=O)[O-])N12,-1587.979846,1.8077,14372.155,2336.362,-1587.98529072,0.274765,-1588.003884,-1588.05905,0.19556,-1587.978902,0.275709,0.0,1.0,3.8529,0.19407999999999997,14197.0133,0.11972999999999999,-0.31381,-0.07435,417.0547,2688.073,1.0,38.0,0.250727
Cc1c2c(cc(C#N)c1C(C)(C)C)N1B(O2)Oc2c1cc(C#N)c(C(C)(C)C)c2C,-1268.852694,7.9847,17136.935,3558.191,-1269.15754616,0.494008,-1268.880925,-1268.939178,0.407524,-1268.85175,0.494952,0.0,1.0,5.8949,0.144675,16373.4221,0.128635,-0.27331,-0.01604,399.2983,3494.08,1.0,56.0,0.465777
Cc1c2c(cc(F)c1N(C)C)N1B(O2)Oc2c1cc(F)c(N(C)C)c2C,-1236.408524,4.1169,13091.399,3023.663,-1236.65353656,0.394035,-1236.432969,-1236.486559,0.316,-1236.40758,0.394979,0.0,1.0,1.7005,0.114625,12937.6376,0.125695,-0.24032,0.01107,359.1817,3193.214,1.0,46.0,0.36959
Cc1c2c(cc(F)c1N(C)C)N1[BH-](O2)Oc2c1cc(F)c(N(C)C)c2C,-1237.038518,3.368,11625.2682,2530.552,-1237.31406493,0.4012,-1237.063262,-1237.117772,0.321947,-1237.037574,0.402144,-1.0,1.0,3.507,-0.03159,12783.4617,0.12204999999999999,-0.09046,0.15364,360.1896,3193.315,1.0,47.0,0.376456
Cc1c2c(cc(N)c1C(C)(C)C)N1B(O2)Oc2c1cc(N)c(C(C)(C)C)c2C,-1195.033744,3.9704,16036.4769,3413.653,-1195.35736105,0.530447,-1195.060934,-1195.116918,0.447273,-1195.0328,0.531391,0.0,1.0,3.2067,0.10486499999999999,15618.0962,0.127305,-0.23217,0.02244,379.3079,2960.513,1.0,58.0,0.503257
Cc1c2c(cc(N)c1C(C)(C)C)N1[BH-](O2)Oc2c1cc(N)c(C(C)(C)C)c2C,-1195.654018,6.254,14298.4448,2841.728,-1196.03380035,0.53759,-1195.681463,-1195.738606,0.453003,-1195.653074,0.538534,-1.0,1.0,6.5211,-0.03756500000000001,15359.3957,0.121195,-0.08363,0.15876,380.3158,3512.248,1.0,59.0,0.510145
Cc1cc(Br)cc2c1OB1Oc3c(C)cc(Br)cc3N12,-5912.725772,1.7837,11433.9336,2197.663,-5912.83867041,0.235142,-5912.743018,-5912.790449,0.170465,-5912.724827,0.236087,0.0,1.0,2.1995,0.131065,10770.0482,0.135235,-0.2663,0.00417,394.8565,2197.663,1.0,30.0,0.217896
Cc1cc(Cl)c2c(c1)N1B(O2)Oc2c(Cl)cc(C)cc21,-1689.491791,4.9799,7972.9834,2338.7,-1689.60086531,0.23555,-1689.508677,-1689.554753,0.172587,-1689.490846,0.236494,0.0,1.0,5.1435,0.131935,7675.2718,0.135315,-0.26725,0.00338,305.9545,2143.809,1.0,30.0,0.218663
Cc1cc(N)cc2c1OB1Oc3c(C)cc(N)cc3N12,-880.96848,3.2843,6431.2468,2112.823,-881.098130279,0.288835,-880.985908,-881.03071,0.226604,-880.967536,0.289779,0.0,1.0,4.1091,0.10335,5994.0231,0.13095,-0.2343,0.0276,267.0935,1918.788,1.0,34.0,0.271407
Cc1cc2c(c(Br)c1Br)OB1Oc3c(cc(C)c(Br)c3Br)N12,-11055.099507,4.1167,20141.4573,2305.083,-11055.1914405,0.218207,-11055.119186,-11055.170505,0.14721,-11055.098563,0.219152,0.0,1.0,3.4399,0.139115,20461.0501,0.127905,-0.26702,-0.01121,552.6487,2187.876,1.0,30.0,0.198529
Cc1cc2c(c(C#N)c1C(C)(C)C)OB1Oc3c(cc(C)c(C(C)(C)C)c3C#N)N12,-1268.841617,10.4677,17116.0564,3301.733,-1269.17200479,0.493838,-1268.869889,-1268.929168,0.406287,-1268.840673,0.494782,0.0,1.0,8.5151,0.14836,16543.437,0.12313,-0.27149,-0.02523,399.2983,3109.399,1.0,56.0,0.465566
Cc1cc2c(c(C#N)c1N(C)C)OB1Oc3c(cc(C)c(N(C)C)c3C#N)N12,-1222.410482,9.6143,14315.2477,2859.044,-1222.66536057,0.409401,-1222.436931,-1222.493277,0.326607,-1222.409538,0.410345,0.0,1.0,7.2313,0.150775,14017.2701,0.12268499999999999,-0.27346,-0.02809,373.2203,2980.705,1.0,48.0,0.382952
Cc1cc2c(c(C#N)c1[N+](=O)[O-])OB1Oc3c(cc(C)c([N+](=O)[O-])c3C#N)N12,-1363.577107,9.2135,13405.6923,2757.951,-1363.63829977,0.264373,-1363.599671,-1363.652098,0.189382,-1363.576163,0.265317,0.0,1.0,8.9045,0.199985,13388.9686,0.11709499999999998,-0.31708,-0.08289,377.0791,2657.662,1.0,36.0,0.241809
Cc1cc2c(c(C(C)(C)C)c1C(F)(F)F)OB1Oc3c(cc(C)c(C(F)(F)F)c3C(C)(C)C)N12,-1758.27377,1.0498,20470.3317,3774.189,-1758.54978061,0.510104,-1758.305067,-1758.365874,0.418,-1758.272826,0.511048,0.0,1.0,2.3891,0.142085,18596.6813,0.127175,-0.26926,-0.01491,485.2753,3390.373,1.0,60.0,0.478807
Cc1cc2c(c(C(C)(C)C)c1Cl)OB1Oc3c(cc(C)c(Cl)c3C(C)(C)C)N12,-2003.587884,1.1631,15741.2324,3252.703,-2003.91531669,0.475488,-2003.614817,-2003.670585,0.392786,-2003.586939,0.476432,0.0,1.0,0.9722,0.12393000000000001,15578.4612,0.13081,-0.25474,0.00688,418.1689,3382.811,1.0,54.0,0.448555
Cc1cc2c(c(C(C)(C)C)c1[N+](=O)[O-])OB1Oc3c(cc(C)c([N+](=O)[O-])c3C(C)(C)C)N12,-1493.272669,0.2293,17652.3863,3516.955,-1493.49740102,0.503234,-1493.302912,-1493.363909,0.411994,-1493.271725,0.504178,0.0,1.0,3.6051,0.151695,16871.1157,0.125895,-0.27759,-0.0258,439.2739,3732.909,1.0,58.0,0.472991
Cc1cc2c(c(C(F)(F)F)c1)OB1Oc3c(cc(C)cc3C(F)(F)F)N12,-1444.195877,6.2498,11213.8909,2366.544,-1444.33649168,0.270137,-1444.217573,-1444.271272,0.194742,-1444.194932,0.271082,0.0,1.0,5.3273,0.14001,11293.397,0.13309,-0.2731,-0.00692,373.0609,2343.568,1.0,36.0,0.248441
Cc1cc2c(c(C)c1Br)OB1Oc3c(cc(C)c(Br)c3C)N12,-5991.268193,1.2848,15375.7196,3267.053,-5991.42252995,0.295063,-5991.288178,-5991.337453,0.225802,-5991.267249,0.296007,0.0,1.0,0.8249,0.12422,15415.6598,0.12889,-0.25311,0.00467,422.9101,2248.294,1.0,36.0,0.275077
Cc1cc2c(c(C)c1N(C)C)OB1Oc3c(cc(C)c(N(C)C)c3C)N12,-1116.516901,2.6491,13368.5096,2657.544,-1116.83625224,0.467877,-1116.542856,-1116.59789,0.386888,-1116.515957,0.468821,0.0,1.0,1.5303,0.10427499999999999,13173.0013,0.12900499999999998,-0.23328,0.02473,351.2543,3015.864,1.0,52.0,0.441923
Cc1cc2c(c(Cl)c1N)OB1Oc3c(cc(C)c(N)c3Cl)N12,-1800.119466,5.4077,9878.7969,2220.069,-1800.25817606,0.27267,-1800.138695,-1800.185807,0.20633,-1800.118522,0.273614,0.0,1.0,3.9673,0.101385,9795.4816,0.126505,-0.22789,0.02512,335.9837,2220.069,1.0,34.0,0.253441
Cc1cc2c(c(Cl)c1N)O[BH-]1Oc3c(cc(C)c(N)c3Cl)N12,-1800.752446,6.2556,8878.3066,2181.866,-1800.91925388,0.280472,-1800.772021,-1800.819823,0.213094,-1800.751501,0.281416,-1.0,1.0,6.8717,-0.03997,9421.0378,0.1261,-0.08613,0.16607,336.9916,2000.044,1.0,35.0,0.260897
Cc1cc2c(c(F)c1O)OB1Oc3c(cc(C)c(O)c3F)N12,-1119.124933,1.7072,8183.9844,1845.123,-1119.22687593,0.249016,-1119.143397,-1119.189255,0.184694,-1119.123989,0.24996,0.0,1.0,2.2017,0.1084,7975.9608,0.1335,-0.2419,0.0251,305.0441,1867.902,1.0,32.0,0.230552
Cc1cc2c(c(F)c1O)O[BH-]1Oc3c(cc(C)c(O)c3F)N12,-1119.753291,6.22,7350.7826,1997.371,-1119.87830061,0.25629,-1119.772326,-1119.819376,0.190205,-1119.752347,0.257234,-1.0,1.0,6.8267,-0.042775,8002.2603,0.130435,-0.08766,0.17321,306.052,2071.348,1.0,33.0,0.237255
Cc1cc2c(c(N(C)C)c1C(C)(C)C)OB1Oc3c(cc(C)c(C(C)(C)C)c3N(C)C)N12,-1352.056801,0.6692,19118.0496,4220.049,-1352.53863877,0.649334,-1352.089197,-1352.15029,0.555845,-1352.055856,0.650278,0.0,1.0,1.3741,0.11329,18806.8471,0.13128,-0.24457,0.01799,435.4151,3801.266,1.0,70.0,0.616938
Cc1cc2c(c(N(C)C)c1C(F)(F)F)OB1Oc3c(cc(C)c(C(F)(F)F)c3N(C)C)N12,-1711.833073,5.1887,18681.4709,3452.955,-1712.08783069,0.426655,-1711.862213,-1711.922208,0.337521,-1711.832129,0.427599,0.0,1.0,0.825,0.13155,18245.8563,0.12493,-0.25648,-0.00662,459.1973,2732.338,1.0,52.0,0.397515
Cc1cc2c(c(N)c1Cl)OB1Oc3c(cc(C)c(Cl)c3N)N12,-1800.130002,0.7709,10444.8016,2243.628,-1800.27452069,0.272597,-1800.149299,-1800.196279,0.206321,-1800.129058,0.273542,0.0,1.0,1.9664,0.115,10359.7426,0.13357,-0.24857,0.01857,335.9837,2617.566,1.0,34.0,0.253301
Cc1cc2c(c(N)c1Cl)O[BH-]1Oc3c(cc(C)c(Cl)c3N)N12,-1800.762482,2.418,9350.3973,2509.508,-1800.91919773,0.280407,-1800.782151,-1800.830096,0.212793,-1800.761538,0.281351,-1.0,1.0,5.1221,-0.0348,10468.7214,0.12836,-0.09356,0.16316,336.9916,2477.335,1.0,35.0,0.260738
Cc1cc2c(c(O)c1Br)OB1Oc3c(cc(C)c(Br)c3O)N12,-6063.096183,0.5194,15221.2058,2903.709,-6063.19267756,0.246726,-6063.115305,-6063.16373,0.17918,-6063.095239,0.24767,0.0,1.0,1.6627,0.12557000000000001,14659.7903,0.13171,-0.25728,0.00614,426.8553,2143.213,1.0,32.0,0.227604
Cc1cc2c(c(O)c1Br)O[BH-]1Oc3c(cc(C)c(Br)c3O)N12,-6063.737307,8.1737,13437.0439,2092.121,-6063.85644805,0.254216,-6063.75694,-6063.806401,0.185121,-6063.736362,0.25516,-1.0,1.0,5.9751,-0.022845000000000004,13826.0515,0.12381500000000001,-0.10097,0.14666,427.8632,2236.405,1.0,33.0,0.234583
Cc1cc2c(c([N+](=O)[O-])c1C#N)OB1Oc3c(cc(C)c(C#N)c3[N+](=O)[O-])N12,-1363.573915,7.0995,12794.7147,2728.243,-1363.64911828,0.263969,-1363.596941,-1363.650272,0.187612,-1363.572971,0.264913,0.0,1.0,8.6074,0.19558,12587.8065,0.11449000000000001,-0.31007,-0.08109,377.0791,2676.277,1.0,36.0,0.240943
Cc1cc2c(c([N+](=O)[O-])c1N(C)C)OB1Oc3c(cc(C)c(N(C)C)c3[N+](=O)[O-])N12,-1446.803401,10.8455,16129.0044,2992.131,-1446.96978877,0.419757,-1446.831029,-1446.888432,0.334726,-1446.802457,0.420701,0.0,1.0,9.0099,0.14601499999999998,15181.7157,0.10923499999999998,-0.25525,-0.03678,413.1959,2962.796,1.0,50.0,0.392128
Cc1cc2c(c([N+](=O)[O-])c1N)OB1Oc3c(cc(C)c(N)c3[N+](=O)[O-])N12,-1289.794583,13.9297,11242.5358,2339.982,-1289.82630853,0.300489,-1289.816183,-1289.866725,0.228346,-1289.793639,0.301433,0.0,1.0,8.4965,0.14163,10723.9982,0.09959,-0.24122,-0.04204,357.0887,2578.755,1.0,38.0,0.278889
Cc1cc2c(cc1Br)OB1Oc3cc(Br)c(C)cc3N12,-5912.725895,2.0478,13877.845,2113.048,-5912.83744505,0.23512,-5912.742602,-5912.788689,0.172326,-5912.724951,0.236064,0.0,1.0,2.3646,0.128855,12921.7693,0.128735,-0.25759,-0.00012,394.8565,2113.048,1.0,30.0,0.218413
Cc1cc2c(cc1C(C)(C)C)N1B(O2)Oc2cc(C)c(C(C)(C)C)cc21,-1084.435896,1.8238,12188.3074,3216.64,-1084.7694055,0.492408,-1084.460437,-1084.51304,0.415265,-1084.434952,0.493353,0.0,1.0,2.3726,0.109755,11400.9386,0.131625,-0.24138,0.02187,349.2787,3216.64,1.0,54.0,0.467868
Cc1cc2c(cc1C(F)(F)F)N1B(O2)Oc2cc(C)c(C(F)(F)F)cc21,-1444.202529,2.7705,11756.8631,2756.315,-1444.32085501,0.270373,-1444.223301,-1444.27373,0.199172,-1444.201584,0.271317,0.0,1.0,2.5066,0.13408499999999998,10908.3757,0.133095,-0.26718,-0.00099,373.0609,2141.066,1.0,36.0,0.249601
Cc1cc2c(cc1N(C)C)N1B(O2)Oc2cc(C)c(N(C)C)cc21,-1037.988813,3.7529,10174.6502,2555.95,-1038.26778285,0.408766,-1038.010641,-1038.060322,0.337257,-1037.987869,0.40971,0.0,1.0,3.2219,0.10706,10325.0173,0.12909,-0.23615,0.02203,323.2007,2673.465,1.0,46.0,0.386938
Cc1cc2c(cc1N)OB1Oc3cc(N)c(C)cc3N12,-880.965673,1.7992,6960.2548,1891.344,-881.117701512,0.288947,-880.98238,-881.025645,0.228975,-880.964729,0.289891,0.0,1.0,1.3828,0.08921,6829.6388,0.12671,-0.21592,0.0375,267.0935,2218.243,1.0,34.0,0.27224
Cc1cc2c(cc1[N+](=O)[O-])N1B(O2)Oc2cc(C)c([N+](=O)[O-])cc21,-1179.177403,4.8971,9781.7349,2181.51,-1179.23394154,0.263813,-1179.196026,-1179.244507,0.196709,-1179.176458,0.264758,0.0,1.0,5.5908,0.166555,9582.4215,0.11723499999999999,-0.28379,-0.04932,327.0595,2404.619,1.0,34.0,0.24519
Cc1ccc2c(c1)N1B(O2)Oc2ccc(C)cc21,-770.341073,1.8059,5064.5954,2133.836,-770.45590771,0.252212,-770.355296,-770.397072,0.196212,-770.340128,0.253156,0.0,1.0,2.6066,0.116155,4801.5529,0.135105,-0.25126,0.01895,237.0643,1937.872,1.0,30.0,0.237989
Cc1ccc2c(c1)OB1Oc3cc(C)ccc3N12,-770.34105,1.291,5540.7273,1970.793,-770.473306926,0.252177,-770.355334,-770.397444,0.195783,-770.340106,0.253121,0.0,1.0,1.6477,0.1133,5516.6545,0.13237,-0.24567,0.01907,237.0643,2084.057,1.0,30.0,0.237892
Cc1ccc2c(c1C#N)OB1Oc3c(ccc(C)c3C#N)N12,-954.768015,9.3364,7968.3334,2239.675,-954.906168342,0.253302,-954.785841,-954.831922,0.189396,-954.767071,0.254246,0.0,1.0,7.6935,0.15303,7891.3735,0.12373,-0.27676,-0.0293,287.0839,2475.43,1.0,32.0,0.235476
Cc1ccc2c(c1C(C)(C)C)OB1Oc3c(ccc(C)c3C(C)(C)C)N12,-1084.430464,1.8728,11969.0867,2881.714,-1084.75259334,0.49283,-1084.454979,-1084.508085,0.41521,-1084.42952,0.493774,0.0,1.0,1.0758,0.11104,11911.6682,0.13208,-0.24312,0.02104,349.2787,3609.419,1.0,54.0,0.468316
Cc1ccc2c(c1C(F)(F)F)OB1Oc3c(ccc(C)c3C(F)(F)F)N12,-1444.192214,5.3396,11586.1441,2385.175,-1444.32850412,0.270344,-1444.213003,-1444.262992,0.199566,-1444.19127,0.271288,0.0,1.0,5.0269,0.136965,11213.5896,0.129085,-0.26605,-0.00788,373.0609,2130.447,1.0,36.0,0.249554
Cc1ccc2c(c1C(F)(F)F)O[BH-]1Oc3c(ccc(C)c3C(F)(F)F)N12,-1444.83515,4.0734,10331.5633,1958.646,-1444.98642306,0.277909,-1444.856181,-1444.907382,0.205677,-1444.834206,0.278853,-1.0,1.0,4.3424,-0.016215,11387.2678,0.121195,-0.10498,0.13741,374.0688,2146.461,1.0,37.0,0.256877
Cc1ccc2c(c1F)OB1Oc3c(ccc(C)c3F)N12,-968.75674,3.7546,6747.8409,1905.066,-968.865403343,0.238049,-968.772679,-968.816029,0.17876,-968.755796,0.238993,0.0,1.0,4.2348,0.12142499999999999,6589.6411,0.135765,-0.25719,0.01434,273.0453,1791.67,1.0,30.0,0.22211
Cc1ccc2c(c1O)OB1Oc3c(ccc(C)c3O)N12,-920.717013,0.1285,6773.0161,2085.64,-920.827801494,0.263767,-920.73343,-920.776706,0.204075,-920.716069,0.264711,0.0,1.0,2.2888,0.11075499999999999,6494.2407,0.136465,-0.24722,0.02571,269.0631,2244.33,1.0,32.0,0.24735
Cc1ccc2c(c1[N+](=O)[O-])OB1Oc3c(ccc(C)c3[N+](=O)[O-])N12,-1179.159932,7.8081,9551.5391,2128.77,-1179.2334951,0.26371,-1179.17891,-1179.226742,0.196901,-1179.158988,0.264655,0.0,1.0,8.5433,0.16251000000000002,9606.7724,0.11809,-0.2806,-0.04442,327.0595,2175.048,1.0,34.0,0.244732
Clc1c(Br)ccc2c1OB1Oc3c(ccc(Br)c3Cl)N12,-6753.331469,3.4947,15212.4837,2149.495,-6753.3617448,0.158882,-6753.347537,-6753.394194,0.096158,-6753.330525,0.159827,0.0,1.0,3.5933,0.143455,13042.8759,0.12898500000000002,-0.27244,-0.01447,435.6931,1755.421,1.0,24.0,0.142814
Clc1cc2c(c(Cl)c1Br)OB1Oc3c(cc(Cl)c(Br)c3Cl)N12,-7672.4765,1.0668,18367.7669,2469.153,-7672.48329436,0.141792,-7672.495145,-7672.545485,0.072806,-7672.475556,0.142736,0.0,1.0,2.1052,0.1548,15113.2923,0.12769999999999998,-0.2825,-0.0271,504.5833,2508.346,1.0,24.0,0.123147
Clc1cc2c(cc1Br)OB1Oc3cc(Br)c(Cl)cc3N12,-6753.334759,1.193,15307.6015,2272.36,-6753.37021813,0.158489,-6753.350791,-6753.397477,0.095771,-6753.333814,0.159433,0.0,1.0,1.8769,0.14515999999999998,14339.7439,0.12813,-0.27329,-0.01703,435.6931,2675.521,1.0,24.0,0.142456
Clc1cc2c(cc1Br)O[BH-]1Oc3cc(Br)c(Cl)cc3N12,-6753.988943,2.1529,13525.4917,2468.601,-6754.06593242,0.166398,-6754.005389,-6754.05279,0.102551,-6753.987999,0.167343,-1.0,1.0,3.2149,-0.006615000000000003,15153.0221,0.123495,-0.11688,0.13011,436.701,2240.73,1.0,25.0,0.149952
