can,APT_charge,ES_root_Mulliken_charge,ES_root_NPA_Rydberg,ES_root_NPA_charge,ES_root_NPA_core,ES_root_NPA_total,ES_root_NPA_valence,Mulliken_charge,NMR_anisotropy,NMR_shift,NPA_Rydberg,NPA_charge,NPA_core,NPA_total,NPA_valence,VBur,X,Y,Z
Cc1cc2c(cc1C#N)NB1Nc3cc(C#N)c(C)cc3N12,1.036049,0.713874,0.01687,1.10778,1.99894,3.89222,1.8764,0.674109,17.4658,89.6408,0.01624,1.05005,1.99893,3.94995,1.93478,0.6038388923851479,-8e-06,2.090852,0.00012
Cc1ccc2c(c1Cl)NB1Nc3c(ccc(C)c3Cl)N12,1.061972,0.665749,0.01694,1.03645,1.99892,3.96355,1.94769,0.668428,16.1349,90.4022,0.01625,1.04793,1.99892,3.95207,1.9369,0.6038388923851479,1e-06,-1.210607,2.8e-05
Cc1ccc2c(c1Cl)N[BH-]1Nc3c(ccc(C)c3Cl)N12,1.152627,0.523961,0.01829,0.66377,1.99921,4.33623,2.31872,0.549995,14.1868,106.6498,0.01702,0.69335,1.99925,4.30665,2.29038,0.6013215859030837,-3.7e-05,-1.386089,-1.216601
Fc1c(Cl)cc2c(c1F)NB1Nc3c(cc(Cl)c(F)c3F)N12,1.043352,0.676815,0.01695,1.03966,1.99892,3.96034,1.94448,0.680273,13.8382,90.0595,0.01635,1.05092,1.99892,3.94908,1.93381,0.6036815607300189,-1e-06,-2.098542,-0.000161
Fc1c(Cl)cc2c(c1F)N[BH-]1Nc3c(cc(Cl)c(F)c3F)N12,1.129691,0.517615,0.01905,0.66043,1.99921,4.33957,2.32131,0.547422,15.7265,105.3969,0.01729,0.69319,1.99924,4.30681,2.29027,0.6018722466960352,2e-05,-2.365851,-0.971381
Fc1cc2c(c(C(F)(F)F)c1)NB1Nc3c(cc(F)cc3C(F)(F)F)N12,1.061803,0.680417,0.01674,1.04498,1.99893,3.95502,1.93935,0.677696,14.9035,89.1055,0.0163,1.05455,1.99894,3.94545,1.93021,0.6048615481434865,4.6e-05,-1.066063,-0.001021
Fc1cc2c(c(C(F)(F)F)c1)N[BH-]1Nc3c(cc(F)cc3C(F)(F)F)N12,1.141117,0.529098,0.01718,0.66822,1.99921,4.33178,2.31539,0.547611,15.4686,105.4872,0.01678,0.69271,1.99924,4.30729,2.29127,0.5999056010069226,0.000189,-1.130766,-1.372845
Fc1cc2c(c(C(F)(F)F)c1C(F)(F)F)NB1Nc3c(cc(F)c(C(F)(F)F)c3C(F)(F)F)N12,1.106372,0.680314,0.01654,1.03919,1.99893,3.96081,1.94533,0.680848,16.58,88.7112,0.01632,1.06024,1.99894,3.93976,1.92449,0.60509754562618,2.6e-05,-1.447499,-0.000196
Fc1cc2c(c(C(F)(F)F)c1C(F)(F)F)N[BH-]1Nc3c(cc(F)c(C(F)(F)F)c3C(F)(F)F)N12,1.145112,0.521793,0.01683,0.66222,1.99919,4.33778,2.32176,0.542036,13.6295,106.8483,0.0162,0.68877,1.99923,4.31123,2.2958,0.5995909376966646,0.000123,1.639298,-1.466951
Fc1cc2c(c(C(F)(F)F)c1Cl)NB1Nc3c(cc(F)c(Cl)c3C(F)(F)F)N12,1.0942,0.695032,0.01677,1.07757,1.99894,3.92243,1.90672,0.676385,15.1326,89.2131,0.01632,1.0558,1.99894,3.9442,1.92895,0.6059628697293895,0.044504,-1.26682,-0.000103
Fc1cc2c(c(C(F)(F)F)c1Cl)N[BH-]1Nc3c(cc(F)c(Cl)c3C(F)(F)F)N12,1.169251,0.526695,0.01692,0.66687,1.9992,4.33313,2.317,0.544086,14.39,106.2942,0.01654,0.68984,1.99924,4.31016,2.29438,0.6007709251101322,-0.04941,-1.436829,-1.438583
N#Cc1c(Br)cc2c(c1[N+](=O)[O-])NB1Nc3c(cc(Br)c(C#N)c3[N+](=O)[O-])N12,1.232551,0.702466,0.01676,1.07293,1.99895,3.92707,1.91137,0.694358,14.3089,87.7948,0.01655,1.06912,1.99894,3.93088,1.91539,0.604153555695406,-4.7e-05,2.273281,4.7e-05
N#Cc1c(Br)cc2c(c1[N+](=O)[O-])N[BH-]1Nc3c(cc(Br)c(C#N)c3[N+](=O)[O-])N12,1.226977,0.527488,0.01536,0.66244,1.99918,4.33756,2.32301,0.538459,15.9745,106.4935,0.01564,0.67819,1.99922,4.32181,2.30695,0.598568281938326,0.00012,2.470768,1.327028
N#Cc1c(F)cc2c(c1N)NB1Nc3c(cc(F)c(C#N)c3N)N12,1.011894,0.675494,0.01658,1.0346,1.99894,3.9654,1.94988,0.677879,17.0174,89.2214,0.01631,1.05519,1.99895,3.94481,1.92956,0.6048615481434865,0.004804,1.812796,-0.010153
N#Cc1c(F)cc2c(c1N)N[BH-]1Nc3c(cc(F)c(C#N)c3N)N12,1.044348,0.496108,0.01971,0.66371,1.99926,4.33629,2.31731,0.521005,16.8736,104.3042,0.01914,0.69748,1.99928,4.30252,2.2841,0.6078508495909377,0.003714,-2.075653,0.988816
