SMILES,FIA,group
COc1c(Br)cc2c(c1N)OB1Oc3c(cc(Br)c(OC)c3N)N12,376.3926977962256,original
COc1c(Br)cc2c(c1OC)OB1Oc3c(cc(Br)c(OC)c3OC)N12,389.1735802590847,original
COc1c(C#N)c(Cl)cc2c1OB1Oc3c(cc(Cl)c(C#N)c3OC)N12,453.2188506647945,original
COc1c(C#N)cc2c(c1C(C)(C)C)OB1Oc3c(cc(C#N)c(OC)c3C(C)(C)C)N12,426.23296191729605,coverage
COc1c(C(C)(C)C)cc2c(c1O)OB1Oc3c(cc(C(C)(C)C)c(OC)c3O)N12,372.8239866495133,original
COc1c(C(C)(C)C)ccc2c1OB1Oc3c(ccc(C(C)(C)C)c3OC)N12,369.9086312279105,original
COc1c(C)cc2c(c1C#N)OB1Oc3c(cc(C)c(OC)c3C#N)N12,421.2423848826438,kmeans
COc1c(C)cc2c(c1F)OB1Oc3c(cc(C)c(OC)c3F)N12,362.4789907615632,coverage
COc1c(Cl)c(C)cc2c1OB1Oc3c(cc(C)c(Cl)c3OC)N12,379.47432614769787,kmeans
COc1c(F)c(C(C)(C)C)cc2c1OB1Oc3c(cc(C(C)(C)C)c(F)c3OC)N12,388.5806372957304,original
COc1c(F)c(N(C)C)cc2c1OB1Oc3c(cc(N(C)C)c(F)c3OC)N12,376.4559460962191,coverage
COc1c(F)cc2c(c1C(F)(F)F)OB1Oc3c(cc(F)c(OC)c3C(F)(F)F)N12,411.89279488567263,coverage
COc1c(F)cc2c(c1N)OB1Oc3c(cc(F)c(OC)c3N)N12,348.83731180243194,original
COc1c(N(C)C)cc2c(c1Cl)OB1Oc3c(cc(N(C)C)c(OC)c3Cl)N12,395.1836915332824,coverage
COc1c(N)c(C)cc2c1OB1Oc3c(cc(C)c(N)c3OC)N12,337.52938746102154,coverage
COc1c2c(cc(C(C)(C)C)c1C(C)(C)C)N1B(O2)Oc2c1cc(C(C)(C)C)c(C(C)(C)C)c2OC,382.6474531777203,coverage
COc1c2c(cc(C)c1C(C)(C)C)N1B(O2)Oc2c1cc(C)c(C(C)(C)C)c2OC,350.23541691340506,kmeans
COc1c2c(cc(C)c1C(F)(F)F)N1B(O2)Oc2c1cc(C)c(C(F)(F)F)c2OC,396.97157840430737,kmeans
COc1c2c(cc(C)c1N(C)C)N1B(O2)Oc2c1cc(C)c(N(C)C)c2OC,349.6779969660565,kmeans
COc1cc(C#N)cc2c1OB1Oc3c(OC)cc(C#N)cc3N12,419.7298342175782,coverage
COc1cc(C(F)(F)F)cc2c1OB1Oc3c(OC)cc(C(F)(F)F)cc3N12,388.5930034015328,original
COc1cc(O)c2c(c1)N1B(O2)Oc2c(O)cc(OC)cc21,345.20466972514987,original
COc1cc2c(c(Br)c1C(F)(F)F)OB1Oc3c(cc(OC)c(C(F)(F)F)c3Br)N12,420.5686815343797,original
COc1cc2c(c(Br)c1C)OB1Oc3c(cc(OC)c(C)c3Br)N12,377.4281163103879,original
COc1cc2c(c(C#N)c1Cl)OB1Oc3c(cc(OC)c(Cl)c3C#N)N12,443.7135422509164,original
COc1cc2c(c(C(C)(C)C)c1)OB1Oc3c(cc(OC)cc3C(C)(C)C)N12,347.91371334251016,original
COc1cc2c(c(C(C)(C)C)c1F)OB1Oc3c(cc(OC)c(F)c3C(C)(C)C)N12,360.6538217877969,original
COc1cc2c(c(C(C)(C)C)c1O)OB1Oc3c(cc(OC)c(O)c3C(C)(C)C)N12,353.82229652255774,original
COc1cc2c(c(C(C)(C)C)c1[N+](=O)[O-])OB1Oc3c(cc(OC)c([N+](=O)[O-])c3C(C)(C)C)N12,416.380641143769,original
COc1cc2c(c(C(F)(F)F)c1)OB1Oc3c(cc(OC)cc3C(F)(F)F)N12,375.8527899356559,original
COc1cc2c(c(C)c1[N+](=O)[O-])OB1Oc3c(cc(OC)c([N+](=O)[O-])c3C)N12,420.8500563893467,coverage
COc1cc2c(c(F)c1F)OB1Oc3c(cc(OC)c(F)c3F)N12,388.3064563088119,original
COc1cc2c(c(F)c1O)OB1Oc3c(cc(OC)c(O)c3F)N12,364.53016279358417,kmeans
COc1cc2c(c(N(C)C)c1C(C)(C)C)OB1Oc3c(cc(OC)c(C(C)(C)C)c3N(C)C)N12,356.2165164090693,coverage
COc1cc2c(c(N(C)C)c1O)OB1Oc3c(cc(OC)c(O)c3N(C)C)N12,328.0186180071905,original
COc1cc2c(c(N)c1C)OB1Oc3c(cc(OC)c(C)c3N)N12,335.0753586795181,original
COc1cc2c(c([N+](=O)[O-])c1F)OB1Oc3c(cc(OC)c(F)c3[N+](=O)[O-])N12,446.3964358847588,kmeans
COc1cc2c(cc1C(F)(F)F)OB1Oc3cc(C(F)(F)F)c(OC)cc3N12,400.3803178248927,original
COc1cc2c(cc1Cl)OB1Oc3cc(Cl)c(OC)cc3N12,376.5360501082614,original
COc1cc2c(cc1N)OB1Oc3cc(N)c(OC)cc3N12,330.5633840756491,original
COc1cc2c(cc1OC)N1B(O2)Oc2cc(OC)c(OC)cc21,339.1729768412188,original
COc1ccc2c(c1)N1B(O2)Oc2ccc(OC)cc21,326.04094947874546,original
COc1ccc2c(c1)OB1Oc3cc(OC)ccc3N12,337.80446374230087,original
Cc1c(Br)c(C#N)cc2c1OB1Oc3c(cc(C#N)c(Br)c3C)N12,445.8410375714302,kmeans
Cc1c(Br)c(Cl)cc2c1OB1Oc3c(cc(Cl)c(Br)c3C)N12,402.82770409062505,coverage
Cc1c(Br)c([N+](=O)[O-])cc2c1OB1Oc3c(cc([N+](=O)[O-])c(Br)c3C)N12,451.0974202528596,kmeans
Cc1c(Br)cc2c(c1C(C)(C)C)OB1Oc3c(cc(Br)c(C)c3C(C)(C)C)N12,371.9059279933572,original
Cc1c(C(C)(C)C)cc2c(c1C(C)(C)C)OB1Oc3c(cc(C(C)(C)C)c(C)c3C(C)(C)C)N12,349.8591302251443,kmeans
Cc1c(C(F)(F)F)cc2c(c1C(C)(C)C)OB1Oc3c(cc(C(F)(F)F)c(C)c3C(C)(C)C)N12,394.352851995267,kmeans
Cc1c(C(F)(F)F)cc2c(c1C(F)(F)F)OB1Oc3c(cc(C(F)(F)F)c(C)c3C(F)(F)F)N12,434.2600087011233,kmeans
Cc1c(C(F)(F)F)cc2c(c1[N+](=O)[O-])OB1Oc3c(cc(C(F)(F)F)c(C)c3[N+](=O)[O-])N12,461.0338357947767,original
Cc1c(Cl)c(C(C)(C)C)cc2c1OB1Oc3c(cc(C(C)(C)C)c(Cl)c3C)N12,371.2233767099679,kmeans & coverage
Cc1c(Cl)c(N)cc2c1OB1Oc3c(cc(N)c(Cl)c3C)N12,348.49770335294306,original
Cc1c(Cl)cc2c(c1Cl)OB1Oc3c(cc(Cl)c(C)c3Cl)N12,406.01968221366405,kmeans
Cc1c(Cl)ccc2c1OB1Oc3c(ccc(Cl)c3C)N12,372.1462137727067,kmeans
Cc1c(F)cc2c(c1C(F)(F)F)OB1Oc3c(cc(F)c(C)c3C(F)(F)F)N12,408.5683340234682,coverage
Cc1c(F)cc2c(c1F)OB1Oc3c(cc(F)c(C)c3F)N12,374.92879765015095,kmeans
Cc1c(F)cc2c(c1N(C)C)OB1Oc3c(cc(F)c(C)c3N(C)C)N12,361.1936508845538,coverage
Cc1c(N(C)C)cc2c(c1Br)OB1Oc3c(cc(N(C)C)c(C)c3Br)N12,384.2095470316708,coverage
Cc1c(N(C)C)cc2c(c1C(F)(F)F)OB1Oc3c(cc(N(C)C)c(C)c3C(F)(F)F)N12,380.8964020758867,kmeans
Cc1c(N(C)C)cc2c(c1N(C)C)OB1Oc3c(cc(N(C)C)c(C)c3N(C)C)N12,330.3379586292431,kmeans
Cc1c(N(C)C)cc2c(c1O)OB1Oc3c(cc(N(C)C)c(C)c3O)N12,355.6565497275442,original
Cc1c(N)c(C(C)(C)C)cc2c1OB1Oc3c(cc(C(C)(C)C)c(N)c3C)N12,327.21148673444986,coverage
Cc1c(N)cc2c(c1C#N)OB1Oc3c(cc(N)c(C)c3C#N)N12,392.86041266005486,original
Cc1c(O)cc2c(c1O)OB1Oc3c(cc(O)c(C)c3O)N12,352.7257563630119,original
Cc1c([N+](=O)[O-])cc2c(c1C)OB1Oc3c(cc([N+](=O)[O-])c(C)c3C)N12,420.3900424977765,coverage
Cc1c([N+](=O)[O-])cc2c(c1[N+](=O)[O-])OB1Oc3c(cc([N+](=O)[O-])c(C)c3[N+](=O)[O-])N12,500.41507855430245,kmeans & coverage
Cc1c2c(cc(C#N)c1C(C)(C)C)N1B(O2)Oc2c1cc(C#N)c(C(C)(C)C)c2C,416.0545277632773,coverage
Cc1c2c(cc(F)c1N(C)C)N1B(O2)Oc2c1cc(F)c(N(C)C)c2C,362.9203636003658,original
Cc1c2c(cc(N)c1C(C)(C)C)N1B(O2)Oc2c1cc(N)c(C(C)(C)C)c2C,332.6528621539473,original
Cc1cc(Br)cc2c1OB1Oc3c(C)cc(Br)cc3N12,375.0686580464244,coverage
Cc1cc(Cl)c2c(c1)N1B(O2)Oc2c(Cl)cc(C)cc21,372.6356332665309,original
Cc1cc(N)cc2c1OB1Oc3c(C)cc(N)cc3N12,312.4457024903968,kmeans
