SMILES,FIA,group,HIA,reorg_nrj,GEI
CN(C)c1c(O)cc2c(c1F)NB1Nc3c(cc(O)c(N(C)C)c3F)N12,243.5424363994971,NNN,,,1.0485547858135842
CN(C)c1c(O)cc2c(c1N(C)C)NB1Nc3c(cc(O)c(N(C)C)c3N(C)C)N12,238.84889040049163,NNN,366.0204249573872,195.69635800007745,0.9733546726896136
CN(C)c1cc2c(c(Cl)c1C(F)(F)F)NB1Nc3c(cc(N(C)C)c(C(F)(F)F)c3Cl)N12,337.52448039967567,NNN,,,2.0091596357596773
COc1c(Br)c(C(C)(C)C)cc2c1NB1Nc3c(cc(C(C)(C)C)c(Br)c3OC)N12,296.076658397913,NNN,428.2411549575627,169.7033000005831,1.3584727574902475
COc1c(C#N)c([N+](=O)[O-])cc2c1NB1Nc3c(cc([N+](=O)[O-])c(C#N)c3OC)N12,413.7079903995618,NNN,542.5482049570419,176.70845399975406,3.9838321680738873
COc1c(Cl)c(O)cc2c1NB1Nc3c(cc(O)c(Cl)c3OC)N12,278.44603239931166,NNN,417.6464929562062,199.01154000012863,1.3790971523150652
COc1c(Cl)cc2c(c1C(F)(F)F)NB1Nc3c(cc(Cl)c(OC)c3C(F)(F)F)N12,342.0443984000012,NNN,,,1.9650155219930796
COc1c(N)cc2c(c1C(F)(F)F)NB1Nc3c(cc(N)c(OC)c3C(F)(F)F)N12,277.697804399766,NNN,,,1.4167048939526077
COc1c(O)cc2c(c1Cl)NB1Nc3c(cc(O)c(OC)c3Cl)N12,306.9824364008382,NNN,416.02185695804656,152.4697199997263,1.3463032376731354
COc1cc2c(c(C(F)(F)F)c1O)NB1Nc3c(cc(OC)c(O)c3C(F)(F)F)N12,321.05938240047544,NNN,,,1.4459489210285694
COc1cc2c(c(N)c1C(F)(F)F)NB1Nc3c(cc(OC)c(C(F)(F)F)c3N)N12,301.13059040065855,NNN,,,1.5326776734239511
COc1cc2c(c(OC)c1C)NB1Nc3c(cc(OC)c(C)c3OC)N12,253.4974723998457,NNN,372.1352869570255,181.3211399998636,0.9557730528099366
COc1cc2c(c(OC)c1Cl)NB1Nc3c(cc(OC)c(Cl)c3OC)N12,299.73491040151566,NNN,419.20139695703983,173.91626199987513,1.409125568171398
COc1cc2c(cc1OC)N1B(N2)Nc2cc(OC)c(OC)cc21,273.2337084002793,NNN,382.7790109566413,162.62737399965772,0.7865109842829145
COc1ccc2c(c1O)NB1Nc3c(ccc(OC)c3O)N12,237.57338239997625,NNN,362.23329095728695,262.6359839998713,0.7919980217863116
Cc1c(C#N)ccc2c1NB1Nc3c(ccc(C#N)c3C)N12,331.23678339924663,NNN,455.4212949569337,168.83243259990195,2.308907842585652
Cc1c(C(C)(C)C)cc2c(c1C)NB1Nc3c(cc(C(C)(C)C)c(C)c3C)N12,258.5178643995896,NNN,380.4848229568452,168.98585600015394,0.890503397368623
Cc1c(C(F)(F)F)cc2c(c1C(C)(C)C)NB1Nc3c(cc(C(F)(F)F)c(C)c3C(C)(C)C)N12,304.7474504010752,NNN,,,1.385431268061545
Cc1c(Cl)c(Br)cc2c1NB1Nc3c(cc(Br)c(Cl)c3C)N12,324.47661440074444,NNN,449.1794749572873,172.08331400070165,1.6551912915784752
Cc1c(Cl)c(C#N)cc2c1NB1Nc3c(cc(C#N)c(Cl)c3C)N12,369.4986044000834,NNN,495.9704789565876,171.31620999989536,2.281556844420234
Cc1c(F)cc2c(c1N)NB1Nc3c(cc(F)c(C)c3N)N12,258.93313639983535,NNN,,,1.003614202777544
Cc1c(N(C)C)cc2c(c1N(C)C)NB1Nc3c(cc(N(C)C)c(C)c3N(C)C)N12,250.4269763994962,NNN,375.2090069572441,175.51258400021652,0.8742319892111206
Cc1c(N)c(N(C)C)cc2c1NB1Nc3c(cc(N(C)C)c(N)c3C)N12,199.70643640030173,NNN,341.50065695727244,225.9083320003356,0.5789546193809995
Cc1c(N)cc2c(c1N)NB1Nc3c(cc(N)c(C)c3N)N12,244.8302579997108,NNN,358.88476395700127,194.2886998000404,0.6705108366031073
Cc1c([N+](=O)[O-])cc2c(c1C)NB1Nc3c(cc([N+](=O)[O-])c(C)c3C)N12,344.2279563993216,NNN,470.7122329571285,173.3639700004005,2.5318295736644894
Cc1c2c(cc(F)c1N(C)C)N1B(N2)Nc2c1cc(F)c(N(C)C)c2C,275.18872639909387,NNN,,,1.0865358205186193
Cc1c2c(cc(F)c1[N+](=O)[O-])N1B(N2)Nc2c1cc(F)c([N+](=O)[O-])c2C,359.1146983988583,NNN,,,3.170236473988416
Cc1cc(Br)cc2c1NB1Nc3c(C)cc(Br)cc3N12,295.86538240127265,NNN,418.6112229600549,168.40436600086832,1.3494708550647008
Cc1cc(Cl)c2c(c1)N1B(N2)Nc2c(Cl)cc(C)cc21,290.0440604016185,NNN,413.9235269576311,169.3441360000179,1.3728028548091002
Cc1cc2c(c(Br)c1[N+](=O)[O-])NB1Nc3c(cc(C)c([N+](=O)[O-])c3Br)N12,361.1331043988466,NNN,488.91254495829344,172.64246999911848,3.1107022567661278
Cc1cc2c(c(C(C)(C)C)c1[N+](=O)[O-])NB1Nc3c(cc(C)c([N+](=O)[O-])c3C(C)(C)C)N12,320.53959040064365,NNN,459.0597349572927,174.15689199951885,2.24714727989368
Cc1cc2c(c(N)c1C)NB1Nc3c(cc(C)c(C)c3N)N12,251.90717200003564,NNN,366.9002753570676,185.14340259985147,0.7728778868920475
Cc1cc2c(cc1C#N)NB1Nc3cc(C#N)c(C)cc3N12,327.34926600009203,NNN,453.70324875740334,167.79798100001244,2.3783524268520595
Fc1c(Cl)cc2c(c1F)NB1Nc3c(cc(Cl)c(F)c3F)N12,335.50355240050703,NNN,,,1.6764520267266716
Fc1cc2c(c(C(F)(F)F)c1)NB1Nc3c(cc(F)cc3C(F)(F)F)N12,327.2358384002,NNN,,,2.028899166486726
Fc1cc2c(c(C(F)(F)F)c1C(F)(F)F)NB1Nc3c(cc(F)c(C(F)(F)F)c3C(F)(F)F)N12,370.75419640075415,NNN,,,2.950327062173228
N#Cc1c(Br)cc2c(c1[N+](=O)[O-])NB1Nc3c(cc(Br)c(C#N)c3[N+](=O)[O-])N12,447.1363983973861,NNN,583.7776529565454,179.56923399906373,5.021814155209001
N#Cc1c(F)cc2c(c1N)NB1Nc3c(cc(F)c(C#N)c3N)N12,327.41401639953256,NNN,,,2.431606374425971
N#Cc1c(N)cc2c(c1Cl)NB1Nc3c(cc(N)c(C#N)c3Cl)N12,342.4980204002932,NNN,468.12546695768833,174.9750600000425,2.51431467160408
N#Cc1cc(F)c2c(c1)N1B(N2)Nc2c(F)cc(C#N)cc21,361.1470924001187,NNN,,,2.3841168722933745
N#Cc1cc2c(c(Br)c1Br)NB1Nc3c(cc(C#N)c(Br)c3Br)N12,398.066234394908,NNN,527.4252009578049,172.42524000030244,2.7530187232246823
N#Cc1cc2c(c(C(F)(F)F)c1C#N)NB1Nc3c(cc(C#N)c(C#N)c3C(F)(F)F)N12,446.3445944013074,NNN,,,4.380102933987232
N#Cc1cc2c(cc1[N+](=O)[O-])N1B(N2)Nc2cc(C#N)c([N+](=O)[O-])cc21,420.5671804007143,NNN,549.7948469580151,173.3204979996117,4.135073173464508
N#Cc1ccc2c(c1F)NB1Nc3c(ccc(C#N)c3F)N12,353.50252039916813,NNN,,,2.7477774190567823
Nc1c(Br)cc2c(c1Cl)NB1Nc3c(cc(Br)c(N)c3Cl)N12,316.4576424024999,NNN,441.7647689580917,170.68430599993007,1.2476197998851313
Nc1c(Br)cc2c(c1[N+](=O)[O-])NB1Nc3c(cc(Br)c(N)c3[N+](=O)[O-])N12,361.25975039973855,NNN,494.2261649575085,181.3328400008686,3.2512539280428205
Nc1ccc2c(c1Cl)NB1Nc3c(ccc(N)c3Cl)N12,280.0692384010181,NNN,404.06266295723617,169.68962400037526,0.9209896564992408
O=[N+]([O-])c1c(C(F)(F)F)cc2c(c1Br)NB1Nc3c(cc(C(F)(F)F)c([N+](=O)[O-])c3Br)N12,409.5372783988714,NNN,,,3.6137386895473953
