SMILES,FIA,group,HIA,reorg_nrj,GEI,class FIA
Oc1cc2c(cc1Cl)OB1Oc3cc(Cl)c(O)cc3N12,358.92261946573853,ONO,364.68774639908224,196.30753999986155,1.829186103104412,medium LA
Oc1c(Cl)c(Br)cc2c1OB1Oc3c(cc(Br)c(Cl)c3O)N12,415.1209786571562,ONO,420.34027840197086,181.26406999981555,2.0640072300892016,good LA
Cc1c(N(C)C)cc2c(c1O)OB1Oc3c(cc(N(C)C)c(C)c3O)N12,355.6565497275442,ONO,361.4533983999863,184.44961599989256,1.1370802922233196,medium LA
Cc1c([N+](=O)[O-])cc2c(c1C)OB1Oc3c(cc([N+](=O)[O-])c(C)c3C)N12,420.3900424977765,ONO,,,2.952407115950339,good LA
N#Cc1ccc2c(c1)N1B(O2)Oc2ccc(C#N)cc21,423.73984731547534,ONO,,,2.5577149250818567,good LA
Cc1cc2c(cc1C(F)(F)F)N1B(O2)Oc2cc(C)c(C(F)(F)F)cc21,387.1686170324683,ONO,,,1.8378428398636568,medium LA
CN(C)c1c(O)cc2c(c1O)OB1Oc3c(cc(O)c(N(C)C)c3O)N12,326.2165796896443,ONO,,,1.168452175372076,medium LA
Brc1cccc2c1OB1Oc3c(Br)cccc3N12,378.3202087655664,ONO,,,1.84046372125,medium LA
Nc1cc(F)cc2c1OB1Oc3c(N)cc(F)cc3N12,347.88325753994286,ONO,,,1.4054144855675703,medium LA
N#Cc1c(N)c(O)cc2c1OB1Oc3c(cc(O)c(N)c3C#N)N12,416.4074212452397,ONO,421.6142263999209,179.28892800046015,2.3410651263604576,good LA
COc1c2c(cc(C)c1C(F)(F)F)N1B(O2)Oc2c1cc(C)c(C(F)(F)F)c2OC,396.97157840430737,ONO,,,2.130180503240036,medium LA
O=[N+]([O-])c1c(Cl)cc2c(c1Br)OB1Oc3c(cc(Cl)c([N+](=O)[O-])c3Br)N12,476.5952279865742,ONO,481.2174583971501,186.76938799981144,3.712787447407932,good LA
COc1cc2c(c(N)c1C)OB1Oc3c(cc(OC)c(C)c3N)N12,335.0753586795181,ONO,341.07210240047425,186.59830800006603,1.0872365334442602,medium LA
O=[N+]([O-])c1cc2c(c(F)c1Br)OB1Oc3c(cc([N+](=O)[O-])c(Br)c3F)N12,478.9567866548896,ONO,483.55608040094376,,3.791661212950337,good LA
Cc1c(C(F)(F)F)cc2c(c1[N+](=O)[O-])OB1Oc3c(cc(C(F)(F)F)c(C)c3[N+](=O)[O-])N12,461.0338357947767,ONO,,,3.5680477544435765,good LA
Nc1c(Br)c(Br)cc2c1OB1Oc3c(cc(Br)c(Br)c3N)N12,396.2897359989584,ONO,401.6919343955815,185.4650200031756,1.7683265435832254,medium LA
COc1c(C)cc2c(c1C#N)OB1Oc3c(cc(C)c(OC)c3C#N)N12,421.2423848826438,ONO,,,2.1796899701537567,good LA
Cc1c(N(C)C)cc2c(c1Br)OB1Oc3c(cc(N(C)C)c(C)c3Br)N12,384.2095470316708,ONO,,,1.5649069602436658,medium LA
CN(C)c1c2c(cc(C(C)(C)C)c1[N+](=O)[O-])N1B(O2)Oc2c1cc(C(C)(C)C)c([N+](=O)[O-])c2N(C)C,417.5457856217399,ONO,422.7415344007313,187.0841960000689,2.383857157606451,good LA
Cc1cc2c(cc1C(C)(C)C)N1B(O2)Oc2cc(C)c(C(C)(C)C)cc21,336.5664590075612,ONO,,,1.2451450962669233,medium LA
Cc1c(C(F)(F)F)cc2c(c1C(F)(F)F)OB1Oc3c(cc(C(F)(F)F)c(C)c3C(F)(F)F)N12,434.2600087011233,ONO,,,2.5559639848663136,good LA
COc1cc2c(c(F)c1O)OB1Oc3c(cc(OC)c(O)c3F)N12,364.53016279358417,ONO,,,1.2279532126268171,medium LA
N#Cc1c(N)c(Br)cc2c1OB1Oc3c(cc(Br)c(N)c3C#N)N12,437.59536538645625,ONO,442.5963823981583,185.2270159994077,2.452532032696684,good LA
Cc1cc2c(c(C#N)c1N(C)C)OB1Oc3c(cc(C)c(N(C)C)c3C#N)N12,412.6525358790532,ONO,,,2.521023683321873,good LA
COc1cc2c(c(C(C)(C)C)c1O)OB1Oc3c(cc(OC)c(O)c3C(C)(C)C)N12,353.82229652255774,ONO,359.63696040026844,172.80426799948145,1.1341642757061192,medium LA
Cc1ccc2c(c1C(C)(C)C)OB1Oc3c(ccc(C)c3C(C)(C)C)N12,350.8241590792313,ONO,,,1.2700814250950938,medium LA
Brc1ccc2c(c1)N1B(O2)Oc2ccc(Br)cc21,379.5528548564762,ONO,,,1.898748754071815,medium LA
Nc1cc(Cl)cc2c1OB1Oc3c(N)cc(Cl)cc3N12,364.67228111997247,ONO,,,1.5302156716391984,medium LA
N#Cc1c(Br)c(C(F)(F)F)cc2c1OB1Oc3c(cc(C(F)(F)F)c(Br)c3C#N)N12,495.18497713282704,ONO,,,3.763860527251493,good LA
Nc1c(F)c([N+](=O)[O-])cc2c1OB1Oc3c(cc([N+](=O)[O-])c(F)c3N)N12,442.065909598954,ONO,,,3.197423962778298,good LA
COc1cc2c(c(N(C)C)c1O)OB1Oc3c(cc(OC)c(O)c3N(C)C)N12,328.0186180071905,ONO,,,1.0332338903792202,medium LA
CC(C)(C)c1c(C#N)c(C#N)cc2c1OB1Oc3c(cc(C#N)c(C#N)c3C(C)(C)C)N12,477.6998809436336,ONO,,,3.920947859892616,good LA
CN(C)c1cc2c(c(C(F)(F)F)c1C(C)(C)C)OB1Oc3c(cc(N(C)C)c(C(C)(C)C)c3C(F)(F)F)N12,396.3704176237807,ONO,,,2.079301335357708,medium LA
COc1cc(O)c2c(c1)N1B(O2)Oc2c(O)cc(OC)cc21,345.20466972514987,ONO,351.10303239990026,211.43101199982084,1.303639306801453,medium LA
O=[N+]([O-])c1ccc2c(c1)OB1Oc3cc([N+](=O)[O-])ccc3N12,429.78928070515394,ONO,,,3.9239638604627167,good LA
